AQSID,STATE_NAME,COUNTY_NAME,PARAMETER_NAME,DATETIME_LOCAL,LATITUDE,LONGITUDE,UNITS_OF_MEASURE,AQI,CITY_NAME
AQ000001,District Of Columbia,District of Columbia,Nitrogen dioxide (NO2),2022/02/17 05:00:00+00,38.895572,-76.958072,Parts per billion,10,Washington
AQ000002,District Of Columbia,District of Columbia,Nitrogen dioxide (NO2),2022/02/18 05:00:00+00,38.895572,-76.958072,Parts per billion,17,Washington
AQ000003,District Of Columbia,District of Columbia,Nitrogen dioxide (NO2),2022/06/08 04:00:00+00,38.895572,-76.958072,Parts per billion,16,Washington
AQ000004,District Of Columbia,District of Columbia,Nitrogen dioxide (NO2),2022/06/09 04:00:00+00,38.895572,-76.958072,Parts per billion,7,Washington
AQ000005,District Of Columbia,District of Columbia,Nitrogen dioxide (NO2),2022/06/10 04:00:00+00,38.895572,-76.958072,Parts per billion,17,Washington
AQ000006,District Of Columbia,District of Columbia,Nitrogen dioxide (NO2),2022/06/11 04:00:00+00,38.895572,-76.958072,Parts per billion,13,Washington
AQ000007,District Of Columbia,District of Columbia,Nitrogen dioxide (NO2),2022/06/12 04:00:00+00,38.895572,-76.958072,Parts per billion,16,Washington
AQ000008,District Of Columbia,District of Columbia,Nitrogen dioxide (NO2),2022/06/13 04:00:00+00,38.895572,-76.958072,Parts per billion,17,Washington
AQ000009,District Of Columbia,District of Columbia,Nitrogen dioxide (NO2),2022/06/14 04:00:00+00,38.895572,-76.958072,Parts per billion,19,Washington
AQ000010,District Of Columbia,District of Columbia,Nitrogen dioxide (NO2),2022/06/15 04:00:00+00,38.895572,-76.958072,Parts per billion,21,Washington
AQ000011,District Of Columbia,District of Columbia,Nitrogen dioxide (NO2),2022/06/16 04:00:00+00,38.895572,-76.958072,Parts per billion,7,Washington
AQ000012,District Of Columbia,District of Columbia,Nitrogen dioxide (NO2),2022/06/17 04:00:00+00,38.895572,-76.958072,Parts per billion,13,Washington
AQ000013,District Of Columbia,District of Columbia,Nitrogen dioxide (NO2),2022/06/18 04:00:00+00,38.895572,-76.958072,Parts per billion,8,Washington
AQ000014,District Of Columbia,District of Columbia,Nitrogen dioxide (NO2),2022/06/19 04:00:00+00,38.895572,-76.958072,Parts per billion,7,Washington
AQ000015,District Of Columbia,District of Columbia,Nitrogen dioxide (NO2),2022/06/20 04:00:00+00,38.895572,-76.958072,Parts per billion,29,Washington
AQ000016,District Of Columbia,District of Columbia,Nitrogen dioxide (NO2),2022/06/21 04:00:00+00,38.895572,-76.958072,Parts per billion,29,Washington
AQ000017,District Of Columbia,District of Columbia,Nitrogen dioxide (NO2),2022/06/22 04:00:00+00,38.895572,-76.958072,Parts per billion,25,Washington
AQ000018,District Of Columbia,District of Columbia,Nitrogen dioxide (NO2),2022/06/23 04:00:00+00,38.895572,-76.958072,Parts per billion,19,Washington
AQ000019,District Of Columbia,District of Columbia,Nitrogen dioxide (NO2),2022/06/24 04:00:00+00,38.895572,-76.958072,Parts per billion,24,Washington
AQ000020,District Of Columbia,District of Columbia,Nitrogen dioxide (NO2),2022/06/25 04:00:00+00,38.895572,-76.958072,Parts per billion,11,Washington
AQ000021,District Of Columbia,District of Columbia,Nitrogen dioxide (NO2),2022/06/26 04:00:00+00,38.895572,-76.958072,Parts per billion,8,Washington
AQ000022,District Of Columbia,District of Columbia,Nitrogen dioxide (NO2),2022/01/01 05:00:00+00,38.895572,-76.958072,Parts per billion,15,Washington
AQ000023,District Of Columbia,District of Columbia,Nitrogen dioxide (NO2),2022/01/02 05:00:00+00,38.895572,-76.958072,Parts per billion,21,Washington
AQ000024,District Of Columbia,District of Columbia,Nitrogen dioxide (NO2),2022/01/03 05:00:00+00,38.895572,-76.958072,Parts per billion,23,Washington
AQ000025,District Of Columbia,District of Columbia,Nitrogen dioxide (NO2),2022/01/04 05:00:00+00,38.895572,-76.958072,Parts per billion,25,Washington
AQ000026,District Of Columbia,District of Columbia,Nitrogen dioxide (NO2),2022/01/05 05:00:00+00,38.895572,-76.958072,Parts per billion,23,Washington
AQ000027,District Of Columbia,District of Columbia,Nitrogen dioxide (NO2),2022/01/06 05:00:00+00,38.895572,-76.958072,Parts per billion,25,Washington
AQ000028,District Of Columbia,District of Columbia,Nitrogen dioxide (NO2),2022/01/07 05:00:00+00,38.895572,-76.958072,Parts per billion,18,Washington
AQ000029,District Of Columbia,District of Columbia,Nitrogen dioxide (NO2),2022/01/08 05:00:00+00,38.895572,-76.958072,Parts per billion,13,Washington
AQ000030,District Of Columbia,District of Columbia,Nitrogen dioxide (NO2),2022/01/09 05:00:00+00,38.895572,-76.958072,Parts per billion,16,Washington
AQ000031,District Of Columbia,District of Columbia,Nitrogen dioxide (NO2),2022/01/10 05:00:00+00,38.895572,-76.958072,Parts per billion,18,Washington
AQ000032,District Of Columbia,District of Columbia,Nitrogen dioxide (NO2),2022/01/11 05:00:00+00,38.895572,-76.958072,Parts per billion,25,Washington
AQ000033,District Of Columbia,District of Columbia,Nitrogen dioxide (NO2),2022/01/12 05:00:00+00,38.895572,-76.958072,Parts per billion,26,Washington
AQ000034,District Of Columbia,District of Columbia,Nitrogen dioxide (NO2),2022/01/13 05:00:00+00,38.895572,-76.958072,Parts per billion,39,Washington
AQ000035,District Of Columbia,District of Columbia,Nitrogen dioxide (NO2),2022/01/14 05:00:00+00,38.895572,-76.958072,Parts per billion,27,Washington
AQ000036,District Of Columbia,District of Columbia,Nitrogen dioxide (NO2),2022/01/15 05:00:00+00,38.895572,-76.958072,Parts per billion,24,Washington
AQ000037,District Of Columbia,District of Columbia,Nitrogen dioxide (NO2),2022/01/16 05:00:00+00,38.895572,-76.958072,Parts per billion,30,Washington
AQ000038,District Of Columbia,District of Columbia,Nitrogen dioxide (NO2),2022/01/17 05:00:00+00,38.895572,-76.958072,Parts per billion,22,Washington
AQ000039,District Of Columbia,District of Columbia,Nitrogen dioxide (NO2),2022/01/18 05:00:00+00,38.895572,-76.958072,Parts per billion,19,Washington
